Fp1,-27,0333934563814,83,2002299946862,-3,05493522574547
AF3,-35,5608995849164,76,2605952593987,24,1279774030765
F7,-70,7743429000555,51,4205700085246,-3,05493522574547
F3,-47,7073482911603,58,9136687505812,43,7676114900325
FC1,-32,8002800922425,32,8002800922425,74,2340791948724
FC5,-77,7214520117066,29,8344701780251,27,0498715072405
T7 (T3),-87,4818988873482,0,-3,05493522574547
C3,-62,9675698210793,0,60,807075353097
CP1,-32,8002800922425,-32,8002800922425,74,2340791948724
CP5,-77,7214520117066,-29,8344701780251,27,0498715072405
P7,-70,7743429000555,-51,4205700085246,-3,05493522574547
P3,-47,7073482911603,-58,9136687505812,43,7676114900325
Pz,3,8572310437823E-15,-62,9675698210793,60,807075353097
PO3,-35,5608995849164,-76,2605952593987,24,1279774030765
O1,-27,0333934563814,-83,2002299946862,-3,05493522574547
Oz,5,35891566271534E-15,-87,4818988873482,-3,05493522574547
O2,27,0333934563814,-83,2002299946862,-3,05493522574547
PO4,35,5608995849164,-76,2605952593987,24,1279774030765
P4,47,7073482911603,-58,9136687505812,43,7676114900325
P8,70,7743429000555,-51,4205700085246,-3,05493522574547
CP6,77,7214520117066,-29,8344701780251,27,0498715072405
CP2,32,8002800922425,-32,8002800922425,74,2340791948724
C4,62,9675698210793,0,60,807075353097
T8 (T4),87,4818988873482,0,-3,05493522574547
FC6,77,7214520117066,29,8344701780251,27,0498715072405
FC2,32,8002800922425,32,8002800922425,74,2340791948724
F4,47,7073482911603,58,9136687505812,43,7676114900325
F8,70,7743429000555,51,4205700085246,-3,05493522574547
AF4,35,5608995849164,76,2605952593987,24,1279774030765
Fp2,27,0333934563814,83,2002299946862,-3,05493522574547
Fz,3,8572310437823E-15,62,9675698210793,60,807075353097
Cz,0,0,87,535222980065
